accountsservice 26.13.3-1.1
sddm 0.21.0-8
sddm-theme-sugar-candy-git r41.a1fae51-1
sg3_utils 1.48-1.2
slurp 1.5.0-2.1
smartmontools 7.5-1.1
snapper 0.13.1-2.1
sof-firmware 2025.12.2-1
sqlitebrowser 3.13.1-3.1
starship 1.25.1-1
steam 1.0.0.85-6
stow 2.4.1-1
sudo 1.9.17.p2-2.1
swaybg 1.2.2-1.1
swayimg 5.2-1.1
sysfsutils 2.1.1-2.2
texinfo 7.3-1.1
ttf-bitstream-vera 1.10-16
ttf-dejavu 2.37+18+g9b5d1b2f-8
ttf-firacode-nerd 3.4.0-2
ttf-liberation 2.1.5-2
ttf-meslo-nerd 3.4.0-2
ttf-opensans 3.003-1
ufw 0.36.2-7
unrar 1:7.2.6-1.1
unzip 6.0-23.1
upower 1.91.2-1.1
usb_modeswitch 2.6.2.20251207-1.1
usbutils 019-1.1
uwsm 0.26.4-1
vim 9.2.0450-1.1
vlc-plugins-all 3.0.22-3.1
vulkan-intel 2:26.1.0-1
vulkan-radeon 2:26.1.0-1
walker-bin 2.14.1-1
waybar 0.15.0-2.1
wayfreeze-git r81.8f813ab-1
wget 1.25.0-4.1
which 2.23-1.1
wireless-regdb 2026.03.18-1
wiremix 0.10.0-1.1
wireplumber 0.5.14-1.1
wl-clipboard 1:2.3.0-1.1
wofi 1.5.3-1.1
wpa_supplicant 2:2.11-5.1
wvkbd 0.17-1
xdg-desktop-portal-hyprland 1.3.12-2.1
xdg-terminal-exec 0.14.0-1
xdg-user-dirs 0.20-1.1
xf86-video-amdgpu 25.0.0-1.1
xfsprogs 7.0.0-1.1
xl2tpd 1.3.20-1.1
xorg-xwayland 24.1.11-2.1
ytmdesktop 2.0.10-1
